iter	Passed	Remaining
0	2	239
1	5	274
2	10	342
3	11	279
4	12	241
5	13	214
6	14	194
7	15	181
8	16	169
9	17	159
10	18	151
11	19	144
12	20	138
13	23	144
14	24	140
15	25	135
16	26	131
17	27	127
18	28	123
19	29	119
20	30	116
21	31	112
22	32	110
23	34	107
24	35	105
25	36	104
26	38	104
27	40	105
28	41	102
29	43	102
30	44	100
31	46	97
32	47	95
33	48	93
34	49	92
35	50	89
36	53	91
37	54	88
38	55	86
39	56	84
40	57	82
41	57	79
42	58	77
43	59	76
44	60	74
45	61	72
46	62	70
47	63	69
48	64	67
49	66	66
50	68	65
51	70	65
52	71	63
53	73	62
54	73	60
55	74	58
56	75	57
57	77	55
58	78	54
59	79	52
60	80	51
61	82	50
62	84	49
63	85	48
64	87	46
65	88	45
66	89	43
67	90	42
68	91	41
69	92	39
70	93	38
71	94	36
72	96	35
73	98	34
74	100	33
75	101	31
76	102	30
77	103	29
78	104	27
79	105	26
80	106	24
81	107	23
82	108	22
83	109	20
84	112	19
85	114	18
86	115	17
87	117	15
88	118	14
89	120	13
90	121	11
91	122	10
92	123	9
93	124	7
94	127	6
95	129	5
96	130	4
97	132	2
98	133	1
99	134	0
